title,theme,literature,start_page,end_page,difficulty
,Статика,"Физика: Механика. 10 класс: Учебник для углубленного изучения физики. М. М. Балашов, А. И. Гомонова, А. Б. Долицкий и др. Под ред. Г. Я. Мякишева",396,422,2
,Статика,Элементарный учебник физики.Том 1: Механика и молекулярная физика.Под ред. Г.С. Ландсберга,138,178,1
,Імпульс. Центр мас,Элементарный учебник физики.Том 1: Механика и молекулярная физика.Под ред. Г.С. Ландсберга,107,111,0
,Імпульс. Центр мас,"Физика: Механика. 10 класс: Учебник для углубленного изучения физики. М. М. Балашов, А. И. Гомонова, А. Б. Долицкий и др. Под ред. Г. Я. Мякишева",284,308,1
,Рух з постійною швидкістю. Графіки. Елементарні задачі на рух зі змінною швидкістю. Рух зі зв’язками,"Физика: Механика. 10 класс: Учебник для углубленного изучения физики. М. М. Балашов, А. И. Гомонова, А. Б. Долицкий и др. Под ред. Г. Я. Мякишева",29,44,1
,Рух з постійною швидкістю. Графіки. Елементарні задачі на рух зі змінною швидкістю. Рух зі зв’язками,"Физика: Механика. 10 класс: Учебник для углубленного изучения физики. М. М. Балашов, А. И. Гомонова, А. Б. Долицкий и др. Под ред. Г. Я. Мякишева",72,73,1
,Рух з постійною швидкістю. Графіки. Елементарні задачі на рух зі змінною швидкістю. Рух зі зв’язками,"Физика: Механика. 10 класс: Учебник для углубленного изучения физики. М. М. Балашов, А. И. Гомонова, А. Б. Долицкий и др. Под ред. Г. Я. Мякишева",44,71,2
,Рух з постійною швидкістю. Графіки. Елементарні задачі на рух зі змінною швидкістю. Рух зі зв’язками,"Физика: Механика. 10 класс: Учебник для углубленного изучения физики. М. М. Балашов, А. И. Гомонова, А. Б. Долицкий и др. Под ред. Г. Я. Мякишева",73,77,2
,Енергія. Робота. Прості механізми,Элементарный учебник физики.Том 1: Механика и молекулярная физика.Под ред. Г.С. Ландсберга,156,162,1
,Енергія. Робота. Прості механізми,Элементарный учебник физики.Том 1: Механика и молекулярная физика.Под ред. Г.С. Ландсберга,168,197,1
,Енергія. Робота. Прості механізми,Элементарный учебник физики.Том 1: Механика и молекулярная физика.Под ред. Г.С. Ландсберга,198,200,1
,Енергія. Робота. Прості механізми,Элементарный учебник физики.Том 1: Механика и молекулярная физика.Под ред. Г.С. Ландсберга,202,212,1
,Енергія. Робота. Прості механізми,"Физика: Механика. 10 класс: Учебник для углубленного изучения физики. М. М. Балашов, А. И. Гомонова, А. Б. Долицкий и др. Под ред. Г. Я. Мякишева",312,329,2
,Енергія. Робота. Прості механізми,"Физика: Механика. 10 класс: Учебник для углубленного изучения физики. М. М. Балашов, А. И. Гомонова, А. Б. Долицкий и др. Под ред. Г. Я. Мякишева",336,340,2
,Енергія. Робота. Прості механізми,"Физика: Механика. 10 класс: Учебник для углубленного изучения физики. М. М. Балашов, А. И. Гомонова, А. Б. Долицкий и др. Под ред. Г. Я. Мякишева",342,347,2
,Закони Ньютона. Сили,Элементарный учебник физики.Том 1: Механика и молекулярная физика.Под ред. Г.С. Ландсберга,76,107,1
,Закони Ньютона. Сили,Элементарный учебник физики.Том 1: Механика и молекулярная физика.Под ред. Г.С. Ландсберга,111,119,1
,Закони Ньютона. Сили,"Физика: Механика. 10 класс: Учебник для углубленного изучения физики. М. М. Балашов, А. И. Гомонова, А. Б. Долицкий и др. Под ред. Г. Я. Мякишева",149,207,2
,Закони Ньютона. Сили,"Физика: Механика. 10 класс: Учебник для углубленного изучения физики. М. М. Балашов, А. И. Гомонова, А. Б. Долицкий и др. Под ред. Г. Я. Мякишева",238,243,2
,Закони Ньютона. Сили,"Физика: Механика. 10 класс: Учебник для углубленного изучения физики. М. М. Балашов, А. И. Гомонова, А. Б. Долицкий и др. Под ред. Г. Я. Мякишева",254,268,2
,Рух з постійною швидкістю. Графіки. Елементарні задачі на рух зі змінною швидкістю. Рух зі зв’язками,Элементарный учебник физики.Том 1: Механика и молекулярная физика.Под ред. Г.С. Ландсберга,19,59,0
,Рух з постійною швидкістю. Графіки. Елементарні задачі на рух зі змінною швидкістю. Рух зі зв’язками,Элементарный учебник физики.Том 1: Механика и молекулярная физика.Под ред. Г.С. Ландсберга,59,66,1
,Відносна швидкість. Перетворення Галілея,Элементарный учебник физики.Том 1: Механика и молекулярная физика.Под ред. Г.С. Ландсберга,70,72,0
,Відносна швидкість. Перетворення Галілея,"Физика: Механика. 10 класс: Учебник для углубленного изучения физики. М. М. Балашов, А. И. Гомонова, А. Б. Долицкий и др. Под ред. Г. Я. Мякишева",128,148,2
,Зіткнення (імпульс + енергія),"Физика: Механика. 10 класс: Учебник для углубленного изучения физики. М. М. Балашов, А. И. Гомонова, А. Б. Долицкий и др. Под ред. Г. Я. Мякишева",340,342,0
,Зіткнення (імпульс + енергія),Элементарный учебник физики.Том 1: Механика и молекулярная физика.Под ред. Г.С. Ландсберга,196,202,0
,Гравітаційна сила. Закони Кеплера,Элементарный учебник физики.Том 1: Механика и молекулярная физика.Под ред. Г.С. Ландсберга,238,252,0
,Гравітаційна сила. Закони Кеплера,"Физика: Механика. 10 класс: Учебник для углубленного изучения физики. М. М. Балашов, А. И. Гомонова, А. Б. Долицкий и др. Под ред. Г. Я. Мякишева",210,228,0
,Коливання,"Физика: Колебание и волны. 11 класс: Учебник для углубленного изучения физики. Г. Я. Мякишев, А. З. Синяков",5,54,1
,Коливання,"Элементарный учебник физики.Том 3: Колебания, волны, оптика, атомная физика.Под ред. Г.С. Ландсберга",11,49,1
,Тверде тіло. Обертання твердого тіла. Момент імпульсу,"Физика: Механика. 10 класс: Учебник для углубленного изучения физики. М. М. Балашов, А. И. Гомонова, А. Б. Долицкий и др. Под ред. Г. Я. Мякишева",357,395,1
,Деформація та напруга. Хвилі,"Физика: Механика. 10 класс: Учебник для углубленного изучения физики. М. М. Балашов, А. И. Гомонова, А. Б. Долицкий и др. Под ред. Г. Я. Мякишева",423,437,0
,Деформація та напруга. Хвилі,"Физика: Колебание и волны. 11 класс: Учебник для углубленного изучения физики. Г. Я. Мякишев, А. З. Синяков",158,219,0
,Деформація та напруга. Хвилі,Элементарный учебник физики.Том 1: Механика и молекулярная физика.Под ред. Г.С. Ландсберга,118,128,0
,Деформація та напруга. Хвилі,"Элементарный учебник физики.Том 3: Колебания, волны, оптика, атомная физика.Под ред. Г.С. Ландсберга",87,114,0
,Плавання. Сила Архімеда,Элементарный учебник физики.Том 1: Механика и молекулярная физика.Под ред. Г.С. Ландсберга,307,319,0
,Плавання. Сила Архімеда,"Физика: Механика. 10 класс: Учебник для углубленного изучения физики. М. М. Балашов, А. И. Гомонова, А. Б. Долицкий и др. Под ред. Г. Я. Мякишева",446,450,0
,Рух ідеальної рідини,"Физика: Механика. 10 класс: Учебник для углубленного изучения физики. М. М. Балашов, А. И. Гомонова, А. Б. Долицкий и др. Под ред. Г. Я. Мякишева",450,464,0
Поняття похідної,Основи математичного аналізу,Высшая математика для начинающих и ее приложения к физике Зельдович Я.Б.,11,36,0
Поняття інтегралу,Основи математичного аналізу,Высшая математика для начинающих и ее приложения к физике Зельдович Я.Б.,36,77,0
Обрахування похідної,Основи математичного аналізу,Высшая математика для начинающих и ее приложения к физике Зельдович Я.Б.,78,112,1
Обрахування інтегралу,Основи математичного аналізу,Высшая математика для начинающих и ее приложения к физике Зельдович Я.Б.,112,126,1
Застосування похідної і інтегралів,Основи математичного аналізу,Высшая математика для начинающих и ее приложения к физике Зельдович Я.Б.,159,197,1
Застосування похідної і інтегралів,Основи математичного аналізу,Высшая математика для начинающих и ее приложения к физике Зельдович Я.Б.,233,457,2
,Статика,"ФИЗИКА, Книга 1. Механика, Бутиков Е. И., Кондратьев А. С.",251,260,0
,Закони Ньютона. Сили,"ФИЗИКА, Книга 1. Механика, Бутиков Е. И., Кондратьев А. С.",83,107,0
,Імпульс. Центр мас,"ФИЗИКА, Книга 1. Механика, Бутиков Е. И., Кондратьев А. С.",165,179,0
,Енергія. Робота. Прості механізми,"ФИЗИКА, Книга 1. Механика, Бутиков Е. И., Кондратьев А. С.",195,196,0
,Енергія. Робота. Прості механізми,"ФИЗИКА, Книга 1. Механика, Бутиков Е. И., Кондратьев А. С.",179,189,1
,Гравітаційна сила. Закони Кеплера,"ФИЗИКА, Книга 1. Механика, Бутиков Е. И., Кондратьев А. С.",124,139,0
,Коливання,"ФИЗИКА, Книга 1. Механика, Бутиков Е. И., Кондратьев А. С.",267,271,0
,Коливання,"ФИЗИКА, Книга 1. Механика, Бутиков Е. И., Кондратьев А. С.",271,311,1
,Деформація та напруга. Хвилі,"ФИЗИКА, Книга 1. Механика, Бутиков Е. И., Кондратьев А. С.",140,143,0
,Деформація та напруга. Хвилі,"ФИЗИКА, Книга 1. Механика, Бутиков Е. И., Кондратьев А. С.",311,331,1
,Енергія. Робота. Прості механізми,"Підручник з фізики 7 клас, Засєкіна Т. М., Засєкін Д. О.",186,216,0
,Закони Ньютона. Сили,"Підручник для 9 класу для загальноосвітніх навчальних закладів з поглибленим вивченням фізики, Засєкіна Т. М., Засєкін Д. О.",204,215,0
,Імпульс. Центр мас,"Підручник для 9 класу для загальноосвітніх навчальних закладів з поглибленим вивченням фізики, Засєкіна Т. М., Засєкін Д. О.",231,239,0
,Гравітаційна сила. Закони Кеплера,"Підручник для 9 класу для загальноосвітніх навчальних закладів з поглибленим вивченням фізики, Засєкіна Т. М., Засєкін Д. О.",215,221,0
,Деформація та напруга. Хвилі,"Підручник для 9 класу для загальноосвітніх навчальних закладів з поглибленим вивченням фізики, Засєкіна Т. М., Засєкін Д. О.",111,127,0
,Деформація та напруга. Хвилі,"Підручник для 9 класу для загальноосвітніх навчальних закладів з поглибленим вивченням фізики, Засєкіна Т. М., Засєкін Д. О.",111,127,0
,Статика,"Підручник для 10 класу закладів загальної середньої освіти, профільний рівень, Засєкіна Т. М., Засєкін Д. О.",77,83,0
,Закони Ньютона. Сили,"Підручник для 10 класу закладів загальної середньої освіти, профільний рівень, Засєкіна Т. М., Засєкін Д. О.",40,48,0
,Закони Ньютона. Сили,"Підручник для 10 класу закладів загальної середньої освіти, профільний рівень, Засєкіна Т. М., Засєкін Д. О.",58,69,0
,Енергія. Робота. Прості механізми,"Підручник для 10 класу закладів загальної середньої освіти, профільний рівень, Засєкіна Т. М., Засєкін Д. О.",97,106,1
,Гравітаційна сила. Закони Кеплера,"Підручник для 10 класу закладів загальної середньої освіти, профільний рівень, Засєкіна Т. М., Засєкін Д. О.",48,58,0
,Коливання,"Підручник для 10 класу закладів загальної середньої освіти, профільний рівень, Засєкіна Т. М., Засєкін Д. О.",118,134,0
,Деформація та напруга. Хвилі,"Підручник для 10 класу закладів загальної середньої освіти, профільний рівень, Засєкіна Т. М., Засєкін Д. О.",137,142,0
,Деформація та напруга. Хвилі,"Підручник для 10 класу закладів загальної середньої освіти, профільний рівень, Засєкіна Т. М., Засєкін Д. О.",137,142,0
,Деформація та напруга. Хвилі,"Підручник для 10 класу закладів загальної середньої освіти, профільний рівень, Засєкіна Т. М., Засєкін Д. О.",137,142,0
Рух зі змінною швидкістю,Рух зі змінною швидкістю. Рух в полі тяжіння. Криволінійний рух. Рух зі зв’язками,"Физика: Механика. 10 класс: Учебник для углубленного изучения физики. М. М. Балашов, А. И. Гомонова, А. Б. Долицкий и др. Под ред. Г. Я. Мякишева",77,92,0
"Вільне падіння. Траекторія руху тіла, кинутого під кутом до горизонту.",Рух зі змінною швидкістю. Рух в полі тяжіння. Криволінійний рух. Рух зі зв’язками,"Физика: Механика. 10 класс: Учебник для углубленного изучения физики. М. М. Балашов, А. И. Гомонова, А. Б. Долицкий и др. Под ред. Г. Я. Мякишева",101,107,0
Графіки залежності координати від часу при русі з постійним прискоренням. Приклади розв'язування задач,Рух зі змінною швидкістю. Рух в полі тяжіння. Криволінійний рух. Рух зі зв’язками,"Физика: Механика. 10 класс: Учебник для углубленного изучения физики. М. М. Балашов, А. И. Гомонова, А. Б. Долицкий и др. Под ред. Г. Я. Мякишева",92,101,1
"Час підйому та час польоту тіла, кинутого під кутом до горизонту. Дальність та максимальна висота. Приклади розв'язування задач",Рух зі змінною швидкістю. Рух в полі тяжіння. Криволінійний рух. Рух зі зв’язками,"Физика: Механика. 10 класс: Учебник для углубленного изучения физики. М. М. Балашов, А. И. Гомонова, А. Б. Долицкий и др. Под ред. Г. Я. Мякишева",107,115,1
,Криволінійний рух. Рух зі зв’язками,"Физика: Механика. 10 класс: Учебник для углубленного изучения физики. М. М. Балашов, А. И. Гомонова, А. Б. Долицкий и др. Под ред. Г. Я. Мякишева",116,125,0
,Криволінійний рух. Рух зі зв’язками,"Физика: Механика. 10 класс: Учебник для углубленного изучения физики. М. М. Балашов, А. И. Гомонова, А. Б. Долицкий и др. Под ред. Г. Я. Мякишева",125,128,1
4 типи сил. Сили в механіці,"Сили: тяжіння, реакція опори, вага, тертя, пружності, натягу","Физика: Механика. 10 класс: Учебник для углубленного изучения физики. М. М. Балашов, А. И. Гомонова, А. Б. Долицкий и др. Под ред. Г. Я. Мякишева",208,210,0
Природа сили пружності. Деформація тіл,"Сили: тяжіння, реакція опори, вага, тертя, пружності, натягу","Физика: Механика. 10 класс: Учебник для углубленного изучения физики. М. М. Балашов, А. И. Гомонова, А. Б. Долицкий и др. Под ред. Г. Я. Мякишева",228,230,0
Закон Гука. Вага тіла,"Сили: тяжіння, реакція опори, вага, тертя, пружності, натягу","Физика: Механика. 10 класс: Учебник для углубленного изучения физики. М. М. Балашов, А. И. Гомонова, А. Б. Долицкий и др. Под ред. Г. Я. Мякишева",233,237,0
Сила тертя. Природа та види сили тертя. Роль сили тертя,"Сили: тяжіння, реакція опори, вага, тертя, пружності, натягу","Физика: Механика. 10 класс: Учебник для углубленного изучения физики. М. М. Балашов, А. И. Гомонова, А. Б. Долицкий и др. Под ред. Г. Я. Мякишева",243,251,0
Сила тяжіння. Прискорення вільного падіння,"Сили: тяжіння, реакція опори, вага, тертя, пружності, натягу","Физика: Механика. 10 класс: Учебник для углубленного изучения физики. М. М. Балашов, А. И. Гомонова, А. Б. Долицкий и др. Под ред. Г. Я. Мякишева",222,223,1
Деформація тіл під дією сили тяжіння та сили пружності,"Сили: тяжіння, реакція опори, вага, тертя, пружності, натягу","Физика: Механика. 10 класс: Учебник для углубленного изучения физики. М. М. Балашов, А. И. Гомонова, А. Б. Долицкий и др. Под ред. Г. Я. Мякишева",241,242,1
Сила опору при русі тіл в рідинах та газах,"Сили: тяжіння, реакція опори, вага, тертя, пружності, натягу","Физика: Механика. 10 класс: Учебник для углубленного изучения физики. М. М. Балашов, А. И. Гомонова, А. Б. Долицкий и др. Под ред. Г. Я. Мякишева",251,253,1
Маса Землі. Центр тяжіння,"Сили: тяжіння, реакція опори, вага, тертя, пружності, натягу","Физика: Механика. 10 класс: Учебник для углубленного изучения физики. М. М. Балашов, А. И. Гомонова, А. Б. Долицкий и др. Под ред. Г. Я. Мякишева",224,226,2
Як виникає деформація тіла?,"Сили: тяжіння, реакція опори, вага, тертя, пружності, натягу","Физика: Механика. 10 класс: Учебник для углубленного изучения физики. М. М. Балашов, А. И. Гомонова, А. Б. Долицкий и др. Под ред. Г. Я. Мякишева",231,233,2
,НІСВ. Сили інерції,"Физика: Механика. 10 класс: Учебник для углубленного изучения физики. М. М. Балашов, А. И. Гомонова, А. Б. Долицкий и др. Под ред. Г. Я. Мякишева",269,275,0
,НІСВ. Сили інерції,"Физика: Механика. 10 класс: Учебник для углубленного изучения физики. М. М. Балашов, А. И. Гомонова, А. Б. Долицкий и др. Под ред. Г. Я. Мякишева",275,283,1
,Енергія. Робота. Потенціальні(не) сили,"Физика: Механика. 10 класс: Учебник для углубленного изучения физики. М. М. Балашов, А. И. Гомонова, А. Б. Долицкий и др. Под ред. Г. Я. Мякишева",328,329,0
,Енергія. Робота. Потенціальні(не) сили,"Физика: Механика. 10 класс: Учебник для углубленного изучения физики. М. М. Балашов, А. И. Гомонова, А. Б. Долицкий и др. Под ред. Г. Я. Мякишева",329,331,1
,Енергія. Робота. Потенціальні(не) сили,"Физика: Механика. 10 класс: Учебник для углубленного изучения физики. М. М. Балашов, А. И. Гомонова, А. Б. Долицкий и др. Под ред. Г. Я. Мякишева",331,335,1
,Гідростатика. Тиск. Закон Паскаля. Сполучені посудини,"Физика: Механика. 10 класс: Учебник для углубленного изучения физики. М. М. Балашов, А. И. Гомонова, А. Б. Долицкий и др. Под ред. Г. Я. Мякишева",438,440,0
